Arun-down1,,,
,,"[0.888088,0.357031]",
,17e4907fe60eb1a5983e0a972a9c5dea,,
,,"[0.983328,0.386078]",
,ce761c447c8d1ebcd464c2e853fbe6fe,,
,,"[0.945975,0.479075]",
,a1ded01857dd648b7f9d740052c9fbd2,,
,,"[1.092100,0.381755]",
,21dd27c5bd136f33ff66e45e92cad7b4,,
,,"[1.091912,0.443259]",
,500ef2372b4fb59f82d043373765c244,,
,,"[1.177594,0.464517]",
,1d386ed85cb92f67ac703bc224f7a7ee,,
,,"[0.978323,0.402535]",
,c458940dd4940b0aaf9965d8f462f7fc,,
,,"[0.924389,0.440854]",
,018c336c72be899f7eaece41b15c7a40,,
,,"[0.895983,0.447844]",
,6317dbad5d8411a68f476cd44b41ad58,,
,,"[1.080623,0.458962]",
,86c511c1901b2ec220f6844c29cedeb7,,
,,"[1.052605,0.422317]",
,cb9bc7e488a25cf62e180590a529850e,,
,,"[0.994485,0.477122]",
,f40f2fe0bb3372ef3db4dcaa82456ce1,,
,,"[1.057005,0.464366]",
,d08aecdfd5b0e2ffb967e8999e5f6315,,
,,"[1.077277,0.674994]",
,c521f4e3f22029fb81372c2930023ea4,,
Arun-left1,,,
,,"[0.678407,0.644072]",
,3653b62ef2f03f7656d14b75b8938a78,,
,,"[0.534102,0.667508]",
,b25cf6ae7c19804e7e210bb6844e07dd,,
,,"[0.573560,0.708235]",
,8984fa4da95115714598b4ebf4b3bd37,,
,,"[0.461278,0.736776]",
,73af52947c590bb04e009919adaa4c6a,,
,,"[0.401195,0.750583]",
,8e3b38a7457cad950d895e21e00e8d08,,
,,"[0.433145,0.638374]",
,21a762e3cae87465e364a33fc1fbb84e,,
,,"[0.661335,0.646662]",
,9a1dbdaf73a51d3c6a70635e3039065a,,
,,"[0.533062,0.666229]",
,29d7d770706755124c168be09b5c1689,,
,,"[0.536789,0.728109]",
,bc4fe949dd4213cc68f86ed369ae73a4,,
,,"[0.627591,0.670754]",
,0b27355a22ef1b0aeac2f46c730002d3,,
,,"[0.949609,0.625988]",
,493eb46a0b672a24478ee5506bc39152,,
Arun-right1,,,
,,"[1.891716,0.752339]",
,f1d33892d77bcf3b63270884dcc809a8,,
,,"[1.983452,0.663909]",
,8b51cb5ee875bdf41bf0481ad2db27f1,,
,,"[1.823419,0.746367]",
,186497149a14b61b417b97837e168754,,
,,"[1.317150,0.724915]",
,2f582f9b4fb04c996aff2fc813e0801a,,
,,"[1.462081,0.676903]",
,ce355d02a996d5bca9837eccae3b7b76,,
,,"[1.698977,0.764276]",
,79de9ceae8c4e015a57291365fac7efc,,
,,"[1.877015,0.695378]",
,019ce1d640221486078436af809b6867,,
,,"[1.741959,0.696525]",
,ab3e089c3fe8a3449f9cd09bc73b44ef,,
,,"[1.441243,0.643583]",
,b81476036f562df4a2bfc4e3deb1e03a,,
,,"[0.955676,0.675641]",
,885cd44ecaa7be17b65d6c4dec980a72,,
Arun-straight1,,,
,,"[0.973893,0.684795]",
,a7ccbe0c48d18a8bed0177c241c3413f,,
,,"[0.991826,0.566474]",
,8ebe892de29b3079152d4b77ef436119,,
,,"[0.948397,0.595125]",
,f0314d7d2c63034d1496f2b9854756c2,,
,,"[1.062572,0.705663]",
,2c77fd175a021f2fb435050fb03d4593,,
,,"[0.945994,0.665334]",
,f81f5698b866c4244f067b1459941d11,,
,,"[0.968517,0.565216]",
,f339fa75f8058a73edbd6aa2dd05e377,,
,,"[0.853950,0.622046]",
,10db63d2f14851373f370f1c92198131,,
,,"[0.931015,0.594996]",
,61dbf4f53f6d1c1d2acc7532c7cb942e,,
,,"[0.923143,0.617118]",
,87345e2b7d084bd5e105525477c7cde0,,
,,"[1.007742,0.674988]",
,1bb9eafc5d5c40a23858cd7c43e8651b,,
Arun-up1,,,
,,"[1.080108,1.021303]",
,42ca41a85c9547dc1bc20973718c4795,,
,,"[0.952529,0.873645]",
,8cc48985eb20471a9da5ef317a3660d9,,
,,"[0.988600,0.826210]",
,5bd389e3071964d5a8ea18ba47241569,,
,,"[1.044978,0.942999]",
,554e192b0f9b12fa73b02e4efe473606,,
,,"[1.002272,0.905140]",
,f6a92c85bab97d9b47494480966d18d5,,
,,"[0.976328,0.917030]",
,9891ba223023363812cbca1f7a641276,,
,,"[0.943585,0.859383]",
,1b5abacd2606c9ad123136755456a4b0,,
,,"[1.040815,0.836978]",
,c93b44a24d64821fe368c043d8ec44ad,,
,,"[1.072775,1.118514]",
,21444e338c307da7dd6fe6f544c76039,,
,,"[1.003416,0.942839]",
,d5524db936d4f62d99254a954d86b313,,
,,"[1.080075,1.141692]",
,d76f465d7c0d3b11c67170ad1c33cf8b,,
,,"[1.050262,0.958271]",
,41321fa0c05a89bb46d7dbdd4846b499,,
,,"[1.086310,0.621731]",
,a4dca12e77b8215cfacdb10bd7bbf97d,,
Dinesh_down,,,
,,"[0.823890,0.821762]",
,ec8c6fe0ba3dcc58e010177ea66a1e8a,,
,,"[1.021821,0.875628]",
,9b8a68f153ab82214c8e0f4a86ced633,,
,,"[0.795084,0.737976]",
,d022b0ea82691c0c75262c15620ad6c9,,
,,"[0.919881,0.670060]",
,9173cedbd67d9727a270719b865cc65c,,
,,"[0.940464,0.940691]",
,75afee5a6bd67dc5e8703a9a753790c8,,
,,"[0.863568,0.908670]",
,8797e81e7313b5070b13938c93ff3d16,,
,,"[0.920190,0.910889]",
,654c35a64c7edc3dc8e34eb1065fd516,,
,,"[0.894905,0.813635]",
,50d697e2dc7b4ed4fb965f5f7787c3ca,,
,,"[0.865632,0.909086]",
,777fbd311a190bcd8977ab77fcda5cd8,,
,,"[0.883275,0.914125]",
,b82f9608418982d369992c5f8c05e05c,,
,,"[0.766743,0.847586]",
,ad1564a306d2df13a2f92c70061b72fa,,
Dinesh_left,,,
,,"[0.676523,0.648150]",
,6838628720ce9182f8fcc06e0995aa8b,,
,,"[0.587940,0.664102]",
,0f874cfe982aa397dca9ab70a67654fb,,
,,"[0.486130,0.759011]",
,c4a19f1476cf57744aecaf5272182f9b,,
,,"[0.445017,0.673621]",
,a3b2885c670f1483610f3985bb501376,,
,,"[0.568559,0.747333]",
,908f63f27fdf30d5453bbdc4890992c6,,
,,"[0.529281,0.698004]",
,b05a97f25efcb6a5c151c72ba766b1f7,,
,,"[0.597824,0.664233]",
,93fd21b0cfcdcdeb9db3317ba722b93e,,
,,"[0.489227,0.701785]",
,7786880bb7953c9e920fc3df7bca60a4,,
,,"[0.727610,0.650898]",
,908bd955a9f53e811568a621a6e328eb,,
,,"[0.431853,0.727005]",
,c02a03e08decbe4dbcde6ad79261e5b0,,
,,"[0.564931,0.683226]",
,495b45d7133a13f6770bd51630b97854,,
