Arun-down,,
,,"[0.993858,0.398504]"
,5f42c10a923c6274274f05bcc152c614,
,,"[0.862429,0.360073]"
,a51c28b99c9412c14a6951dd31533385,
,,"[0.775886,0.433622]"
,b26172e1e990e52150db85bb3c99e77d,
,,"[0.863284,0.453400]"
,3406265a7e098ff83ddbbaead8c75cd2,
,,"[0.886860,0.375056]"
,9c1e3e5f5d5aea84ec987aec5000d376,
,,"[0.936025,0.407658]"
,24c3ccf33bea9b48cf5aa12f09f2583a,
,,"[0.940893,0.376556]"
,838bede09b0df95e293a82cebfa43e68,
,,"[0.932375,0.439828]"
,29e3d5cff65807fff30784617bc19eec,
,,"[0.897077,0.637329]"
,b7040199dd171fec81b56d83a0295a58,
Arun-left,,
,,"[0.468084,0.658822]"
,468cd295d04dfd8d2206ffefa0611d7d,
,,"[0.596551,0.727746]"
,3d381043a85c6886cc56447c37d93182,
,,"[0.468762,0.701140]"
,052df42f5ac5741927f9f07e04f7d7f6,
,,"[0.396685,0.726304]"
,ac7809f59e02e3d7e8e973075ff802de,
,,"[0.520286,0.646070]"
,65ab2013b95131430d7f106df94d9dfd,
,,"[0.557610,0.691438]"
,4cdf734e137467d14c80f83682a692ce,
,,"[0.489926,0.707399]"
,dc14af603d95916f91f91e63d5f80f62,
,,"[1.075696,0.720355]"
,948e528fa6b235cce9f375e59e8833a3,
Arun-right,,
,,"[1.192460,0.618356]"
,790a6c4fb5f7925b8edb9a956b5448a1,
,,"[1.444802,0.681853]"
,4535718a6870a7fa03aa5645de4b09ad,
,,"[1.332378,0.614065]"
,58656d87f77b1ded22e25a732da97ee9,
,,"[1.648661,0.565425]"
,8f99582e4d018777db5a99e77c6bb1dd,
,,"[1.294953,0.581336]"
,d678c8b1c828b7ab430b7f7c2a9e0d41,
,,"[1.263218,0.689615]"
,1ce68598a8eb97d60bd8c77a4aa034a3,
,,"[1.061399,0.691323]"
,cffea6e42e3cc584c24368b45e34f33f,
Arun-up,,
,,"[1.041089,0.997281]"
,68746e8f9e4f0fbe63dd9bf1b03abb0f,
,,"[0.809761,1.101875]"
,2f4f451de508f1f3af66856776ed6623,
,,"[1.015403,0.952450]"
,c25ae423ed8272747040ca3a2edbeb96,
,,"[0.957251,0.944759]"
,217046c004cbf4ef3634e9426f0cd16a,
,,"[1.056776,0.886100]"
,1596c4620d8f5d221cd9e53bdb11e9cf,
,,"[1.033735,1.118444]"
,8d8f1a3f08524e2e748546cee039a3e5,
,,"[1.001680,1.162323]"
,942dff5265c6c2716fbca972e662e1c9,
,,"[0.911614,0.594074]"
,76c367b39c5ede1c9cf44a6e077b9683,
Avanthistaright,,
,,"[0.992405,0.510768]"
,ef2ffd0f0e2049fc46dfca4b125313a7,
,,"[0.943946,0.727996]"
,8affab6581a72673863ff1220d935121,
,,"[0.939742,0.617444]"
,0d80465c13d10a7d8ffb434ffd42b4aa,
,,"[0.993979,0.625015]"
,36f6520f4ab4c161230430f0b71e4664,
avanthiright,,
,,"[1.018776,0.532743]"
,50031891edf68855fe12acc6b2b3eeb0,
avanthitop,,
,,"[1.045030,0.957925]"
,12ebb9d68c2779b354a45ec8e90211ae,
avathidown,,
,,"[0.821110,0.512331]"
,2a330cc029964f08b4bf97a3319fc601,
avathileft,,
,,"[0.721969,0.701638]"
,8018a7917324c0d772803d5996de7a83,
,,"[0.438088,0.621961]"
,c71de953c4f14e31eeaa92f35a11923e,
,,"[0.525573,0.692324]"
,940bf8917ca3c1444c3149dc1ce26a49,
,,"[0.551302,0.642442]"
,3ce53e6b943cc074d35cbf6b14669ded,
bharathdown,,
,,"[0.990572,0.485442]"
,8a0adeeb9cffe73427cfc863d3daa7dd,
,,"[1.030208,0.510845]"
,06ecae96256aaa9defa7eac00f8f8dc1,
,,"[0.995166,0.492982]"
,912cf6f8f957cd7e69d4fb286df36246,
,,"[0.945556,0.581259]"
,fde34c3c15ea784a831691677fd52823,
bharathright,,
,,"[1.796931,0.645471]"
,30f49731ac2f10bc0b126b8b6e3be109,
,,"[1.255271,0.598169]"
,6148c6e4bffe2e818241c0d492e169b0,
,,"[1.574775,0.619803]"
,6db261e6b5081947fdf9039c7eb8bb1b,
bharathstraight,,
,,"[1.107814,0.656240]"
,98384e35fa4e356dda78272ac822e8c9,
,,"[0.964657,0.707815]"
,205a8483da24f680e219ae3ff42fda50,
,,"[1.037138,0.677599]"
,f7b0a9cc4fddd3b25446590c1c4e2767,
,,"[1.087026,0.697733]"
,2e4f94a36b7dcf050b8e5046474de147,
,,"[0.962724,0.685055]"
,edb165dbd63c7dfabad1384df3446bb4,
,,"[1.001371,0.662826]"
,97772511c68c24e37ced9f0bf7b54112,
,,"[1.005368,0.693467]"
,51e0ea63027fc93ddc6975cbff52c55e,
bharathup,,
,,"[1.066263,1.008626]"
,19637fada3793db2703fd482e7f17c01,
,,"[1.050311,1.002851]"
,1578fa290b33ec12a9eed4eca6743ccc,
,,"[1.085664,0.993374]"
,510fb409427da4176318506166a38b75,
biki_straight,,
,,"[0.923627,0.857233]"
,c7eb2eb9bbdf90b5b310f9d86229469c,
,,"[0.955955,0.916933]"
,105efb8e962eff58d8e5a547db5c8f04,
,,"[0.887177,0.851791]"
,9e811c3cabc273bb4eca6fbfd030332f,
,,"[0.945386,0.830171]"
,74561b67016f1f24150e72d20a951538,
,,"[0.904227,0.874500]"
,f946afae5c8f2f2d68db7f2e1d257e2f,
,,"[0.971979,0.873259]"
,7d5ed4d6206d3dcfdc2da5f58ebd49f6,
,,"[0.950022,0.741991]"
,9e4854723cdf0114e885e0915b62a1f0,
,,"[1.051861,0.865233]"
,21c11a8a06daff29e06efa075e6b70cb,
deepa22,,
,,"[1.139308,0.565441]"
,1fb7fac34503758408eecf3a00de597c,
,,"[1.160974,0.588079]"
,f51d5099f37cdd837f08ad85d56a6059,
,,"[0.950160,0.551472]"
,947433e236512c74a1beea253eca359d,
,,"[0.868405,0.570279]"
,db283e9f46542751994d340c206e4087,
,,"[1.216308,0.528767]"
,e85fa8780d5cf6fa75ac6fec03c388f1,
,,"[0.933353,0.597752]"
,fb4c9ee5b81a4343cf963c72a79e9e8b,
,,"[0.964709,0.550859]"
,c0c83b1057517081905bd0f845c56135,
,,"[0.873800,0.482962]"
,8f7be62b97214f73ef036def43748e8e,
,,"[0.911149,0.519895]"
,c5124cbacc7ff90f0679b36142b31a57,
,,"[0.844858,0.508241]"
,7a079187d793ec61a8a5e9b196aef9ad,
,,"[0.927373,0.554549]"
,79d78a9353ec5acc0f63683c0781aa12,
,,"[0.916302,0.562713]"
,0816d45867b892c04337cefeba8f54f3,
deepa29,,
,,"[0.968823,0.627197]"
,09abcb75984941744726cec1e2456905,
,,"[0.965625,0.555683]"
,fd42ef59678a60a5eba25e2f819445de,
,,"[0.743756,0.567892]"
,f2fd91b8927d0fa926a0f550fef4c6f9,
,,"[1.550057,0.590871]"
,8d0fdca7c3e665c99115cf1a70c5d837,
,,"[0.913359,0.564639]"
,4f8925b281880094695ba02ea6ac3f2b,
,,"[0.787995,0.566747]"
,1c88689cf5184c74508123c50054808b,
,,"[0.794819,0.580084]"
,a0a5fd1d1ababba8d5c4b89c4929c79e,
,,"[0.793354,0.570661]"
,14d88df742b4f1696d2b4b8050b40e58,
,,"[0.959419,0.553449]"
,402d24a06395be956bc7017e18142023,
,,"[0.920759,0.650331]"
,8d580f631c26923372e36d58a64aaf33,
,,"[0.938667,0.692617]"
,9feda92fcb3b1bb105eb2a089edd8393,
,,"[0.834503,0.615079]"
,84be85df4c94faf0bba9ed863d156f18,
deepadown,,
,,"[0.999983,0.468759]"
,44a20f37f71c0d57db10772fddd73fac,
,,"[1.036705,0.412007]"
,082e034a6d67a7d15ff7b78352d58878,
,,"[0.993454,0.459206]"
,6eb566e61579086b0c84f8a766daf7c0,
,,"[0.809467,0.425665]"
,56554b3bdc386028253d00f7a05cf9b7,
deepaleft,,
,,"[0.695984,0.604316]"
,3d34f96213aa84bf714be21fad67fb05,
,,"[0.752528,0.577123]"
,1285d689e4d946c7c4e292dcc3b00f4a,
deeparight,,
,,"[1.389253,0.567559]"
,dd62e8bda21e366e2027039cf201c36d,
,,"[1.043940,0.553893]"
,bf37b3af77a2918406cc9bb09ae63207,
,,"[1.789072,0.566876]"
,88acfaac446c8fc2a805c8d5c784a36e,
,,"[1.577401,0.600178]"
,402c17ad5f08de927dc10501f1bba768,
,,"[1.952458,0.633923]"
,c40dc4a50ddad01f5b96aa8b1cfb9d83,
,,"[1.297524,0.600384]"
,a30d33057c1761949babb5cfaaac8357,
deepaup,,
,,"[1.796300,0.967486]"
,a6b0782d629560d5db91652e779615b6,
,,"[1.174799,0.944803]"
,e3d3574ed9a0911d03cbd9b932b4779e,
downkeertika,,
,,"[1.008113,0.515116]"
,654f834c015835dd4ad8ad228b7cc7a1,
,,"[0.949942,0.480475]"
,473d29b76dd7120bb06a0d20aafbd204,
jeevan1down,,
,,"[1.127207,0.360775]"
,87928aca49d6e314b667e3284d48a2bf,
jeevandown,,
,,"[1.091696,0.314932]"
,07d89494bdca5a192b2f226c4fa3084e,
,,"[1.179543,0.309049]"
,b8d1861c6ac64a2cc62bd1f853682954,
,,"[0.926561,0.478325]"
,2f388f6347f58a9ee4e469f452fa0a71,
jeevanleft,,
,,"[0.496293,0.583235]"
,8a43c502c30429c2b9eeaa21b8269d0e,
,,"[0.503386,0.611829]"
,3520a966c35ebc88b94ba044c7c3ced3,
,,"[0.683838,0.540762]"
,daab3c9025aaa6d9ea92227a3b05e258,
jeevanright,,
,,"[2.850879,0.641257]"
,5dfc95397956f74f6aad6c4b9fba4d7c,
,,"[2.556465,0.612495]"
,4141ae971df258343a35ec9facd9501b,
jeevanstraight,,
,,"[1.265197,0.666991]"
,2d1cdba0af1f8807804e5326d9fb0036,
,,"[1.601446,0.601792]"
,607312bd3e436248e80cdacec000f632,
,,"[1.103515,0.607767]"
,e342762f6356048912fd6be4dd6d23e1,
,,"[1.171334,0.528958]"
,7c58bbecfc4931bdf55842e5b9a83a99,
jeevanup,,
,,"[1.027775,1.029080]"
,927885686a6a7d4a6aa157d352c83bb5,
keertika,,
,,"[0.916438,0.677829]"
,bfcf8aeff2e9dc4f31e19c399f864e0a,
,,"[0.778319,0.650285]"
,0a89bbb4c0c5a4856323b35f3e685d76,
leftkeertika,,
,,"[0.426925,0.646136]"
,10bbed88f0a85d0fb0b87870d93a95e8,
,,"[0.739391,0.676484]"
,bdc25a8dd3675039cce91a6fc5c07acb,
leftnoah,,
,,"[1.054889,0.710223]"
,a5a4d7200e1971000e3cffed27edd6a5,
leftnoahrty,,
,,"[0.830960,0.702511]"
,0607a8ef22797032d53cc9f593c9b4ee,
madhu_down,,
,,"[0.925781,0.388552]"
,ddefb24cdd8283bf5bd4bf2b128e3424,
,,"[0.945112,0.384702]"
,ff294c91af37f257a4044b31fe4dd4a7,
,,"[0.937563,0.364631]"
,56f31eb46e83167a62f92a652dc092d4,
madhu_left,,
,,"[0.553437,0.607942]"
,cd2bf9d621ce920c7559a8d0be42a97e,
,,"[0.662401,0.589889]"
,4bfce9ec79dc5cb00bfa3b2dc7d98f95,
,,"[0.624842,0.595447]"
,cc0e500679a0005a7a918a1482ad0cd1,
,,"[0.413885,0.647062]"
,fa6d8379d3f7527715f01f57a663c2a7,
,,"[0.525278,0.622106]"
,2d119e27bd8731a37194a0486b3166f6,
,,"[0.512090,0.580484]"
,1728b1e7ef53d0fb587a20fb3eb49bc5,
madhu_right,,
,,"[1.955246,0.588824]"
,ec7bba596446422759bc96c2bf610625,
,,"[1.789854,0.660177]"
,c552dbbee53d10cd3287c66c59fcf290,
,,"[1.376268,0.551008]"
,3fca87a51100f111c98035025f2189c8,
,,"[2.026235,0.653742]"
,08c2a970e54c7936c2df5756a9f3a2b8,
madhu_straight,,
,,"[1.053590,0.650961]"
,a50fa97418c257c08644ece1dd5a49b1,
,,"[1.022537,0.607145]"
,1a2169c4953b6e600b6c210fe740c460,
,,"[1.034935,0.625980]"
,3985af6c12e33fc9e939e385bde9fd40,
,,"[1.049064,0.637945]"
,5b61e00fc0bf24eb724d7b7df15c8d55,
,,"[1.089514,0.644741]"
,dc134c6e8c6725b3c50677ea11090a93,
,,"[1.027049,0.621908]"
,972d55c91b89a9b7d78382c129a67756,
,,"[0.956316,0.580212]"
,6d8d05bb5a5de233331fc4259fba98ff,
madhu_top,,
,,"[1.159481,1.054457]"
,cc7b99cabbf7b451508d3d1337e513a6,
,,"[1.077091,1.047449]"
,aa4fbc76a1dfc66d76244f2ece7667ac,
,,"[1.137482,0.939190]"
,13b3bd125f17b1b65f7dc1361d912443,
,,"[1.065993,1.015283]"
,b5249c6c22079f6f7ddef82d4b43354e,
,,"[1.120658,0.973438]"
,2a33450f2a174fb8c805c56746dd9d5c,
mani,,
,,"[1.118935,0.616482]"
,95d29809a573515b5100a9e794a90f74,
,,"[1.260926,0.505243]"
,4e8360a5d10d92b2f9f829d349ca8486,
,,"[1.062616,0.511888]"
,de6b983940fdb258a00ffa93e5703c2c,
,,"[0.925551,0.606281]"
,9973c8abb5249de3c1d403726752068d,
,,"[0.913387,0.564532]"
,4b12f741d39c85bc9057f4da3df41479,
niahleft,,
,,"[0.487050,0.732136]"
,028c3f1a5dacb2b4528eec6ce66d6bf6,
nithindown,,
